date;close
23/03/2022;3037,30
24/03/2022;3112,85
25/03/2022;3104,04
26/03/2022;3146,36
27/03/2022;3296,46
28/03/2022;3334,29
29/03/2022;3402,62
30/03/2022;3385,11
31/03/2022;3282,78
1/04/2022;3455,72
2/04/2022;3444,68
3/04/2022;3522,49
4/04/2022;3520,15
5/04/2022;3406,48
6/04/2022;3168,91
7/04/2022;3229,28
8/04/2022;3192,92
9/04/2022;3259,62
10/04/2022;3202,89
11/04/2022;2979,52
12/04/2022;3028,77
13/04/2022;3118,50
14/04/2022;3021,76
15/04/2022;3041,21
16/04/2022;3060,28
17/04/2022;2988,40
18/04/2022;3056,20
19/04/2022;3102,52
20/04/2022;3077,74
21/04/2022;2984,24
22/04/2022;2963,17
23/04/2022;2933,65
24/04/2022;2922,37
25/04/2022;3006,45
26/04/2022;2809,60
27/04/2022;2889,72
28/04/2022;2936,49
29/04/2022;2817,23
30/04/2022;2726,98
1/05/2022;2826,04
2/05/2022;2856,12
3/05/2022;2780,63
4/05/2022;2940,31
5/05/2022;2747,28
6/05/2022;2692,08
7/05/2022;2635,19
8/05/2022;2519,08
9/05/2022;2230,95
10/05/2022;2341,58
11/05/2022;2077,83
12/05/2022;1952,81
13/05/2022;2006,51
14/05/2022;2054,03
15/05/2022;2143,12
16/05/2022;2020,12
17/05/2022;2089,29
18/05/2022;1911,68
19/05/2022;2017,78
20/05/2022;1956,88
21/05/2022;1972,87
22/05/2022;2041,08
23/05/2022;1970,70
24/05/2022;1977,85
25/05/2022;1941,04
26/05/2022;1791,00
27/05/2022;1724,73
28/05/2022;1790,79
29/05/2022;1811,69
30/05/2022;1997,64
31/05/2022;1940,59
1/06/2022;1817,42
2/06/2022;1833,26
3/06/2022;1773,59
4/06/2022;1803,65
5/06/2022;1804,70
6/06/2022;1858,56
7/06/2022;1812,70
8/06/2022;1791,03
9/06/2022;1787,71
10/06/2022;1661,10
11/06/2022;1530,28
12/06/2022;1434,02
13/06/2022;1209,12
14/06/2022;1206,94
15/06/2022;1236,89
16/06/2022;1067,10
17/06/2022;1085,21
18/06/2022;994,41
19/06/2022;1127,03
20/06/2022;1126,99
21/06/2022;1124,71
22/06/2022;1048,30
23/06/2022;1143,46
24/06/2022;1224,12
25/06/2022;1241,00
26/06/2022;1198,25
27/06/2022;1190,73
28/06/2022;1142,41
29/06/2022;1098,71
30/06/2022;1069,53
1/07/2022;1058,01
2/07/2022;1065,69
3/07/2022;1072,95
4/07/2022;1149,81
5/07/2022;1131,96
6/07/2022;1185,41
7/07/2022;1236,64
8/07/2022;1214,00
9/07/2022;1216,53
10/07/2022;1167,31
11/07/2022;1095,67
12/07/2022;1037,37
13/07/2022;1114,57
14/07/2022;1192,56
15/07/2022;1231,23
16/07/2022;1356,31
17/07/2022;1337,97
18/07/2022;1583,55
19/07/2022;1543,12
20/07/2022;1521,72
21/07/2022;1575,68
22/07/2022;1535,71
23/07/2022;1549,19
24/07/2022;1597,72
25/07/2022;1438,01
26/07/2022;1449,61
27/07/2022;1636,88
28/07/2022;1725,82
29/07/2022;1722,28
30/07/2022;1697,52
31/07/2022;1679,55
1/08/2022;1630,62
2/08/2022;1631,11
3/08/2022;1618,68
4/08/2022;1607,96
5/08/2022;1736,78
6/08/2022;1690,67
7/08/2022;1700,54
8/08/2022;1777,99
9/08/2022;1703,41
10/08/2022;1854,05
11/08/2022;1881,06
12/08/2022;1959,26
13/08/2022;1984,29
14/08/2022;1936,02
15/08/2022;1899,64
16/08/2022;1877,16
17/08/2022;1834,04
18/08/2022;1846,36
19/08/2022;1609,05
20/08/2022;1575,73
21/08/2022;1617,86
22/08/2022;1624,65
23/08/2022;1664,76
24/08/2022;1656,52
25/08/2022;1695,85
26/08/2022;1508,09
27/08/2022;1491,26
28/08/2022;1426,40
29/08/2022;1552,40
30/08/2022;1524,62
31/08/2022;1554,16
1/09/2022;1585,98
2/09/2022;1575,91
3/09/2022;1557,54
4/09/2022;1579,06
5/09/2022;1617,50
6/09/2022;1558,90
7/09/2022;1630,00
8/09/2022;1635,60
9/09/2022;1719,35
10/09/2022;1774,69
11/09/2022;1767,02
12/09/2022;1716,53
13/09/2022;1574,56
14/09/2022;1639,60
15/09/2022;1472,51
16/09/2022;1433,97
17/09/2022;1469,05
18/09/2022;1334,30
19/09/2022;1376,21
20/09/2022;1323,07
21/09/2022;1246,29
22/09/2022;1326,15
23/09/2022;1326,95
24/09/2022;1317,11
25/09/2022;1294,72
26/09/2022;1336,65
27/09/2022;1328,11
28/09/2022;1337,15
29/09/2022;1335,90
30/09/2022;1328,70
1/10/2022;1311,80
2/10/2022;1276,69
3/10/2022;1323,32
4/10/2022;1361,90
5/10/2022;1352,44
6/10/2022;1352,40
7/10/2022;1331,14
8/10/2022;1315,47
9/10/2022;1323,41
10/10/2022;1290,04
11/10/2022;1279,79
12/10/2022;1294,29
13/10/2022;1287,51
14/10/2022;1296,63
15/10/2022;1274,91
16/10/2022;1305,87
17/10/2022;1331,52
18/10/2022;1310,78
19/10/2022;1284,85
20/10/2022;1282,68
21/10/2022;1299,88
22/10/2022;1313,91
23/10/2022;1364,20
24/10/2022;1343,83
25/10/2022;1460,37
26/10/2022;1566,85
27/10/2022;1514,35
28/10/2022;1555,12
29/10/2022;1620,42
30/10/2022;1590,93
31/10/2022;1572,88
1/11/2022;1578,51
2/11/2022;1518,33
3/11/2022;1530,87
4/11/2022;1645,06
5/11/2022;1627,42
6/11/2022;1568,75
7/11/2022;1568,45
8/11/2022;1334,22
9/11/2022;1104,17
10/11/2022;1296,01
11/11/2022;1285,23
12/11/2022;1254,95
13/11/2022;1219,85
14/11/2022;1241,39
15/11/2022;1252,00
16/11/2022;1215,24
17/11/2022;1199,45
18/11/2022;1210,98
19/11/2022;1216,52
20/11/2022;1140,47
21/11/2022;1105,99
22/11/2022;1137,75
23/11/2022;1183,69
24/11/2022;1202,96
25/11/2022;1198,40
26/11/2022;1204,94
27/11/2022;1193,20
28/11/2022;1167,30
29/11/2022;1215,70
30/11/2022;1294,92
1/12/2022;1276,36
2/12/2022;1295,61
3/12/2022;1241,13
4/12/2022;1279,89
5/12/2022;1259,37
6/12/2022;1271,38
7/12/2022;1231,35
8/12/2022;1280,28
9/12/2022;1262,95
10/12/2022;1266,34
11/12/2022;1263,27
12/12/2022;1275,37
13/12/2022;1320,43
14/12/2022;1307,50
15/12/2022;1266,59
16/12/2022;1167,85
17/12/2022;1187,11
18/12/2022;1183,19
19/12/2022;1167,68
20/12/2022;1216,96
21/12/2022;1213,84
22/12/2022;1217,51
23/12/2022;1219,97
24/12/2022;1220,49
25/12/2022;1218,30
26/12/2022;1227,30
27/12/2022;1211,07
28/12/2022;1189,27
29/12/2022;1200,06
30/12/2022;1199,12
